id,Name,Team,Position,Height
515791,K. Taylor,AFC Bournemouth,MD,0
302518,L. Cook,AFC Bournemouth,MD,175
9277,S. Cook,AFC Bournemouth,DF,185
9285,C. Daniels,AFC Bournemouth,DF,178
9279,S. Francis,AFC Bournemouth,DF,191
415747,J. Simpson,AFC Bournemouth,DF,178
9293,M. Pugh,AFC Bournemouth,MD,180
20921,A. Boruc,AFC Bournemouth,GK,193
62224,R. Fraser,AFC Bournemouth,MD,163
9637,J. King,AFC Bournemouth,FW,180
245813,L. Mousset,AFC Bournemouth,FW,184
134102,N. Ake,AFC Bournemouth,DF,180
239411,T. Mings,AFC Bournemouth,DF,196
8726,A. Begovic,AFC Bournemouth,GK,199
255738,J. Solis,AFC Bournemouth,MD,179
433506,A. Ramsdale,AFC Bournemouth,GK,188
8460,A. Smith,AFC Bournemouth,DF,180
8296,J. Defoe,AFC Bournemouth,FW,171
11669,C. Wilson,AFC Bournemouth,FW,180
9739,J. Ibe,AFC Bournemouth,MD,176
8959,J. Stanislas,AFC Bournemouth,MD,183
8351,A. Surman,AFC Bournemouth,MD,178
7989,D. Gosling,AFC Bournemouth,MD,183
51064,E. Krafth,Amiens SC,DF,181
90880,J. Valencia,Amiens SC,FW,171
53562,S. Ghoddos,Amiens SC,FW,176
26384,G. Kakuta,Amiens SC,MD,173
26378,S. Baradji,Amiens SC,MD,183
97582,M. Konate,Amiens SC,FW,181
26055,J. Ielsch,Amiens SC,DF,173
132972,G. Gope-Fenepej,Amiens SC,FW,182
30320,O. Hajjam,Amiens SC,DF,181
243931,Q. Cornette,Amiens SC,FW,172
244357,B. Zungu,Amiens SC,MD,184
25957,A. Adenon,Amiens SC,DF,180
214710,B. Dibassy,Amiens SC,DF,183
26583,R. Gurtner,Amiens SC,GK,183
26970,J. Bouet,Amiens SC,GK,184
274345,S. Koita,Amiens SC,FW,180
25433,M. Bodmer,Amiens SC,DF,190
225324,R. Kurzawa,Amiens SC,MD,182
352898,G. Banaziak,Amiens SC,GK,183
248632,M. ,Amiens SC,MD,170
105523,D. Avelar,Amiens SC,DF,185
25492,T. Monconduit,Amiens SC,MD,184
26134,P. Gouano,Amiens SC,DF,186
26869,L. Butelle,Angers,GK,188
26265,V. Manceau,Angers,DF,176
26547,B. Ketkeophomphone,Angers,FW,180
26268,F. Dore,Angers,FW,194
26638,K. Ekambi,Angers,FW,183
27646,P. Capelle,Angers,MD,181
274344,B. Santamaria,Angers,MD,183
